med,med_class,super_class,pharm class,theraputic class,route
insulin nph,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
insulin nph human (isophane),insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
insulin nph isophane & regular,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
insulin regular human,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
insulin subcutaneous pump,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
lantus,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
lantus sc,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
lantus solostar,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
lantus solostar sc,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
levemir,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
levemir flexpen sc,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
levemir flextouch,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
novolin,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
novolin n,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
novolin n sc,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
novolin r relion,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
novolog,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
novolog flexpen,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
novolog flexpen sc,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
novolog mix,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
toujeo max solostar,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
toujeo max solostar sc,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
toujeo solostar,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
toujeo solostar sc,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
tresiba,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
tresiba flextouch,insulin,antidiabetic,antidiabetic,endocrine & metabolic drugs,
nateglinide,meglitinides,antidiabetic,antidiabetic,endocrine & metabolic drugs,
repaglinide,meglitinides,antidiabetic,antidiabetic,endocrine & metabolic drugs,
canagliflozin,sglt2i,antidiabetic,antidiabetic,endocrine & metabolic drugs,
empagliflozin,sglt2i,antidiabetic,antidiabetic,endocrine & metabolic drugs,
invokana,sglt2i,antidiabetic,antidiabetic,endocrine & metabolic drugs,
jardiance,sglt2i,antidiabetic,antidiabetic,endocrine & metabolic drugs,
glimepiride,sulphonylurea,antidiabetic,antidiabetic,endocrine & metabolic drugs,
glipizide,sulphonylurea,antidiabetic,antidiabetic,endocrine & metabolic drugs,
glipizide er,sulphonylurea,antidiabetic,antidiabetic,endocrine & metabolic drugs,
glyburide,sulphonylurea,antidiabetic,antidiabetic,endocrine & metabolic drugs,
glyburide micronized,sulphonylurea,antidiabetic,antidiabetic,endocrine & metabolic drugs,
glipizide-metformin hcl,sulphonylurea/biguanide,antidiabetic,antidiabetic,endocrine & metabolic drugs,
glyburide-metformin,sulphonylurea/biguanide,antidiabetic,antidiabetic,endocrine & metabolic drugs,
pioglitazone hcl,thiozolidinedione,antidiabetic,antidiabetic,endocrine & metabolic drugs,
imodium,anticholenergic-gi,antidiarrheals,antidiarrheals,gastrointestinal agents,
imodium a-d,anticholenergic-gi,antidiarrheals,antidiarrheals,gastrointestinal agents,
imodium multi-symptom relief,anticholenergic-gi,antidiarrheals,antidiarrheals,gastrointestinal agents,
kaopectate,bismuth subsalisilate,antidiarrheals,antidiarrheals,gastrointestinal agents,
loperamide hcl,opioid agonist-gi,antidiarrheals,antidiarrheals,gastrointestinal agents,
loperamide-simethicone,opioid agonist-gi,antidiarrheals,antidiarrheals,gastrointestinal agents,
acidophilus,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
acidophilus caps,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,no
acidophilus lactobacillus,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,no
acidophilus lactobacillus caps,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,no
acidophilus probiotic,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,no
acidophilus probiotic blend,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,no
acidophilus/bifidus,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,no
align,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
align caps,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
align prebiotic-probiotic,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
bacillus coagulans-inulin,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
bifidobacterium lactis,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
bismuth subsalicylate,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
culturelle,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
culturelle caps,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
culturelle immunity support caps,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
diphenoxylate-atropine,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
florajen acidophilus,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
florajen3,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
floranex,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
gerber gentle probiotic liqd,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
lactinex chew,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
lactobacillus,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
lactobacillus rhamnosus (gg),probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
phillips colon health caps,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
probiotic,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
probiotic acidophilus,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
probiotic advanced caps,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
probiotic caps,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
probiotic childrens chew,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
probiotic daily,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
probiotic formula,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
probiotic mature adult,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
probiotic product,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
probiotic-prebiotic,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
saccharomyces boulardii,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
ultimate probiotic formula caps,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
visbiome probiotic hight,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
vsl#3,probiotic,antidiarrheals,antidiarrheals,gastrointestinal agents,
naloxone hcl,opioid-antidote,antidotes,antidotes,miscellaneous products,
naloxone hcl na,opioid-antidote,antidotes,antidotes,miscellaneous products,
naltrexone,opioid-antidote,antidotes,antidotes,miscellaneous products,
naltrexone hcl,opioid-antidote,antidotes,antidotes,miscellaneous products,
narcan,opioid-antidote,antidotes,antidotes,miscellaneous products,
narcan na,opioid-antidote,antidotes,antidotes,miscellaneous products,
vivitrol,opioid-antidote,antidotes,antidotes,miscellaneous products,
vivitrol im,opioid-antidote,antidotes,antidotes,miscellaneous products,
aprepitant,antiemetics,gastrointestinal agents,antiemetics,gastrointestinal agents,
dronabinol,antiemetics,gastrointestinal agents,antiemetics,gastrointestinal agents,
meclizine hcl,antiemetics,gastrointestinal agents,antiemetics,gastrointestinal agents,
ondansetron,antiemetics,gastrointestinal agents,antiemetics,gastrointestinal agents,
ondansetron hcl,antiemetics,gastrointestinal agents,antiemetics,gastrointestinal agents,
ondansetron hcl ij,antiemetics,gastrointestinal agents,antiemetics,gastrointestinal agents,
scopolamine,antiemetics,gastrointestinal agents,antiemetics,gastrointestinal agents,
scopolamine base,antiemetics,gastrointestinal agents,antiemetics,gastrointestinal agents,
trimethobenzamide hcl,antiemetics,gastrointestinal agents,antiemetics,gastrointestinal agents,
dimenhydrinate,antihistamine,antiemetics,antiemetics,gastrointestinal agents,
doxylamine-pyridoxine,antihistamine/pyridoxin,antiemetics,antiemetics,gastrointestinal agents,
diclegis,doxalamine/pyridoxin,antiemetics,antiemetics,gastrointestinal agents,
fluconazole,antifungals,antifungals,antifungals,anti-infective agents,
terbinafine hcl,antifungals,antifungals,antifungals,anti-infective agents,
voriconazole,antifungals,antifungals,antifungals,anti-infective agents,
allegra,h1_blocker,antihistamines,antihistamines,respiratory agents,
allegra allergy,h1_blocker,antihistamines,antihistamines,respiratory agents,
banophen,h1_blocker,antihistamines,antihistamines,respiratory agents,
benadryl,h1_blocker,antihistamines,antihistamines,respiratory agents,
benadryl allergy,h1_blocker,antihistamines,antihistamines,respiratory agents,
cetirizine hcl,h1_blocker,antihistamines,antihistamines,respiratory agents,
chlorpheniramine maleate,h1_blocker,antihistamines,antihistamines,respiratory agents,
claritin,h1_blocker,antihistamines,antihistamines,respiratory agents,
cyproheptadine hcl,h1_blocker,antihistamines,antihistamines,respiratory agents,
desloratadine,h1_blocker,antihistamines,antihistamines,respiratory agents,
diphenhydramine hcl childrens,h1_blocker,antihistamines,antihistamines,respiratory agents,
fexofenadine hcl,h1_blocker,antihistamines,antihistamines,respiratory agents,
levocetirizine dihydrochloride,h1_blocker,antihistamines,antihistamines,respiratory agents,
loratadine,h1_blocker,antihistamines,antihistamines,respiratory agents,
promethazine hcl,h1_blocker,antihistamines,antihistamines,respiratory agents,
sm loratadine,h1_blocker,antihistamines,antihistamines,respiratory agents,
wal-itin,h1_blocker,antihistamines,antihistamines,respiratory agents,
zyrtec,h1_blocker,antihistamine,antihistamines,respiratory agents,
zyrtec allergy,h1_blocker,antihistamine,antihistamines,respiratory agents,
zyrtec-d,h1_blocker,antihistamine,antihistamines,respiratory agents,
cholestyramine,bile acid sequesterant,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
cholestyramine light,bile acid sequesterant,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
colesevelam hcl,bile acid sequesterant,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
colestipol hcl,bile acid sequesterant,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
ezetimibe,cholesterol absorbtion inhibitor,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
zetia,cholesterol absorbtion inhibitor,hypercholesterolemia_med,antihyperlipidemic,cardiovascular agents,
fenofibrate,fibrate,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
fenofibrate micronized,fibrate,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
gemfibrozil,fibrate,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
tricor,fibrate,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
icosapent ethyl,omega 3 fa,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
omega-3-acid ethyl esters,omega 3 fa,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
vascepa,omega 3 fa,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
alirocumab,pcsk9 inhibitor,antihyperlipidemic,antihyperlipidemic,cardiovascular agents,
evolocumab,pcsk9 inhibitor,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
praluent,pcsk9 inhibitor,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
repatha pushtronex system,pcsk9 inhibitor,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
atorvastatin calcium,statin,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
crestor,statin,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
fluvastatin sodium,statin,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
fluvastatin sodium er,statin,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
lipitor,statin,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
livalo,statin,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
lovastatin,statin,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
lovastatin er,statin,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
pitavastatin calcium,statin,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
pravastatin sodium,statin,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
rosuvastatin calcium,statin,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
simvastatin,statin,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
zocor,statin,hypercholesterolemia_med,antihyperlipidemic,cardiovascular agents,
ezetimibe-simvastatin,statin/cholesterol absorbtion inhibitor,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
niacin (antihyperlipidemic),vitamins,hyperlipidemia_med,antihyperlipidemic,cardiovascular agents,
niacin er,vitamins,nutritional products,antihyperlipidemic,cardiovascular agents,
benazepril hcl,acei,raasi,antihypertensive,cardiovascular agents,
captopril,acei,raasi,antihypertensive,cardiovascular agents,
enalapril maleate,acei,raasi,antihypertensive,cardiovascular agents,
lisinopril,acei,raasi,antihypertensive,cardiovascular agents,
moexipril hcl,acei,raasi,antihypertensive,cardiovascular agents,
quinapril hcl,acei,raasi,antihypertensive,cardiovascular agents,
ramipril,acei,raasi,antihypertensive,cardiovascular agents,
trandolapril-verapamil hcl,acei/ca-channel_blkr,raasi,antihypertensive,cardiovascular agents,
trandolapril-verapamil hcl er,acei/ca-channel_blkr,raasi,antihypertensive,cardiovascular agents,
benazepril-hydrochlorothiazide,acei/thiazide,raasi/diuretic,antihypertensive,cardiovascular agents,
enalapril-hydrochlorothiazide,acei/thiazide,raasi/diuretic,antihypertensive,cardiovascular agents,
lisinopril-hydrochlorothiazide,acei/thiazide,raasi/diuretic,antihypertensive,cardiovascular agents,
doxazosin mesylate,alpha-1 blocker,sympatholytic,antihypertensive,cardiovascular agents,
prazosin hcl,alpha-1 blocker,sympatholytic,antihypertensive,cardiovascular agents,
terazosin hcl,alpha-1 blocker,sympatholytic,antihypertensive,cardiovascular agents,
minipress,alpha-blocker,anti-hypertensive,antihypertensive,cardiovascular agents,
eplerenone,antimineralocorticoid,raasi,antihypertensive,cardiovascular agents,
azilsartan medoxomil,arb,raasi,antihypertensive,cardiovascular agents,
bisoprolol-hydrochlorothiazide,arb,raasi,antihypertensive,cardiovascular agents,
candesartan cilexetil,arb,raasi,antihypertensive,cardiovascular agents,
irbesartan,arb,raasi,antihypertensive,cardiovascular agents,
losartan potassium,arb,raasi,antihypertensive,cardiovascular agents,
losartantassium,arb,raasi,antihypertensive,cardiovascular agents,
olmesartan medoxomil,arb,raasi,antihypertensive,cardiovascular agents,
valsartan,arb,raas,antihypertensive,cardiovascular agents,
irbesartan-hydrochlorothiazide,arb/thiazide,raasi/diuretic,antihypertensive,cardiovascular agents,
losartan potassium-hctz,arb/thiazide,raasi/diuretic,antihypertensive,cardiovascular agents,
losartantassium-hctz,arb/thiazide,raasi/diuretic,antihypertensive,cardiovascular agents,
olmesartan medoxomil-hctz,arb/thiazide,raasi/diuretic,antihypertensive,cardiovascular agents,
telmisartan-hctz,arb/thiazide,raasi/diuretic,antihypertensive,cardiovascular agents,
valsartan-hydrochlorothiazide,arb/thiazide,raasi,antihypertensive,cardiovascular agents,
atenolol-chlorthalidone,bblocker_blkr/thiazide,antihypertensive,antihypertensive,cardiovascular agents,
metoprolol-hctz er,beta blocker,sympatholytic,antihypertensive,cardiovascular agents,
dutoprol,beta blocker/thiazide,sympatholytic/diuretic,antihypertensive,cardiovascular agents,
metoprolol-hydrochlorothiazide,beta blocker/thiazide,sympatholytic/diuretic,antihypertensive,cardiovascular agents,
amlodipine besylate-valsartan,ca-channel_blkr/arb,antihypertensive,antihypertensive,cardiovascular agents,
amlodipine besy-benazepril hcl,ca-channel_blkr/thiazide,antihypertensive,antihypertensive,cardiovascular agents,
clonidine,central alpha 2 agonist,sympatholytic,antihypertensive,cardiovascular agents,
clonidine hcl,central alpha 2 agonist,sympatholytic,antihypertensive,cardiovascular agents,
guanfacine hcl,central alpha 2 agonist,sympatholytic,antihypertensive,cardiovascular agents,
aliskiren fumarate,renin inhibitor,raasi,antihypertensive,cardiovascular agents,
aliskiren-amlodipine,renin inhibitor / ca-channel blocker,raasi,antihypertensive,cardiovascular agents,
hydralazine hcl,vasodialator,vasodialator,antihypertensive,cardiovascular agents,
minoxidil,vasodialator,vasodialator,antihypertensive,cardiovascular agents,
hydralazine-hctz,vasodialator/thiazide,vasodialator/diuretic,antihypertensive,cardiovascular agents,
hydroxychloroquine sulfate,antimalarial,antimalarial,antimalarial,anti-infective agents,
quinine sulfate,antimalarial,anti-infective agents,antimalarial,anti-infective agents,
pyridostigmine bromide,antimyasthenic agents,neuromuscular drugs,antimyasthenic agents,neuromuscular drugs,
ambenonium chloride,cholinesterase inhibitor,antimyasthenic agents,antimyasthenic agents,neuromuscular drugs,
ethambutol hcl,antimycobacterial agents,antibiotic,antimycobacterial agents,anti-infective agents,
isoniazid,antimycobacterial agents,antibiotic,antimycobacterial agents,anti-infective agents,
cyclophosphamide,alkylating agents,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
procarbazine hcl,alkylating agents,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
temozolomide,alkylating agents,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
abiraterone acetate,antiandrogen,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
apalutamide,antiandrogen,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
bicalutamide,antiandrogen,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
enzalutamide,antiandrogen,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
capecitabine,antimetabolite,antineoplastic/ immunomodulator,antineoplastics and adjunctive therapies,antineoplastic agents,
hydroxyurea,antimetabolite,antineoplastic/ immunomodulator,antineoplastics and adjunctive therapies,antineoplastic agents,
lonsurf,antimetabolite,antineoplastic/ immunomodulator,antineoplastics and adjunctive therapies,antineoplastic agents,
mercaptopurine,antimetabolite,antineoplastic/ immunomodulator,antineoplastics and adjunctive therapies,antineoplastic agents,
methotrexate sodium,antimetabolite,antineoplastic/ immunomodulator,antineoplastics and adjunctive therapies,antineoplastic agents,
pemetrexed disodium,antimetabolite,antineoplastic/ immunomodulator,antineoplastics and adjunctive therapies,antineoplastic agents,
trifluridine-tipiracil,antimetabolite,antineoplastic/ immunomodulator,antineoplastics and adjunctive therapies,antineoplastic agents,
alimta iv,antineoplastic agents,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
zytiga,antineoplastics and adjunctive therapies,,antineoplastics and adjunctive therapies,antineoplastic agents,
anastrozole,aromatase inhibitor,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
exemestane,aromatase inhibitor,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
letrozole,aromatase inhibitor,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
venclexta,bcl2 inhibotor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
venetoclax,bcl2 inhibotor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
braftovi,braf inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
encorafenib,braf inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
ibrutinib,btk inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
imbruvica,btk inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
rituxan iv,cd20 inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
rituximab,cd20 inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
ibrance,cdk4 inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
palbociclib,cdk4 inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
verzenio,cdk4 inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
abemaciclib,ckd inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
osimertinib mesylate,egfr inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
tagrisso,egfr inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
leucovorin calcium,folinic acid,chemotherapy protective drug,antineoplastics and adjunctive therapies,antineoplastic agents,
goserelin acetate,gnrh analog,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
leuprolide acetate,gnrh analog,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
leuprolide acetate (3 month),gnrh analog,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
leuprolide acetate (4 month),gnrh analog,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
leuprolide acetate (6 month),gnrh analog,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
lupron depot,gnrh analog,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
lupron ij,gnrh analog,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
binimetinib,mek inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
mektovi,mek inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
cabazitaxel,microtubule stabilizer,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
paclitaxel,microtubule stabilizer,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
taxol iv,microtubule stabilizer,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
everolimus,mtor inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
xtandi,non steroid antiandrogen,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
nivolumab,pd-1 inhibitor,immunotherapy-antineoplastic,antineoplastics and adjunctive therapies,antineoplastic agents,
opdivo,pd-1 inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
pembrolizumab,pd-1 inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
pembrolizumab iv,pd-1 inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
alpelisib,pi3k inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
piqray,pi3k inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
carboplatin,platinum-chemo,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
carboplatin iv,platinum-chemo,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
paraplatin iv,platinum-chemo,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
megestrol acetate,progestin,appetite stimulant,antineoplastics and adjunctive therapies,antineoplastic agents,
tamoxifen citrate,serm,antineoplastic hormonal agent,antineoplastics and adjunctive therapies,antineoplastic agents,
vismodegib,smo antagonist,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
etoposide,topoisomerase 2 inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
cabozantinib s-malate,tyrosine kinase inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
dasatinib,tyrosine kinase inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
erlotinib hcl,tyrosine kinase inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
imatinib mesylate,tyrosine kinase inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
selinexor,xpo1 inhibitor,antineoplastic agents,antineoplastics and adjunctive therapies,antineoplastic agents,
amantadine hcl,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
benztropine mesylate,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
bromocriptine mesylate,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
carbidopa-levodopa,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
carbidopa-levodopa er,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
carbidopa-levodopa-entacapone,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
entacapone,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
gocovri,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
inbrija,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
levodopa,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
pramipexole dihydrochloride,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
pramipexole dihydrochloride er,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
rasagiline mesylate,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
requip,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
ropinirole hcl,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
ropinirole hcl er,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
rytary,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
tolcapone,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
trihexyphenidyl hcl,antiparkinsonian,neuromuscular drugs,antiparkinsonian,neuromuscular drugs,
ziprasidone hcl,antipsychotic,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
chlorpromazine hcl,antipsychotic 1st gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
fluphenazine hcl,antipsychotic 1st gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
haldol decanoate im,antipsychotic 1st gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
haloperidol,antipsychotic 1st gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
haloperidol decanoate,antipsychotic 1st gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
haloperidol lactate,antipsychotic 1st gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
loxapine succinate,antipsychotic 1st gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
perphenazine,antipsychotic 1st gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
prochlorperazine,antipsychotic 1st gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
prochlorperazine maleate,antipsychotic 1st gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
trifluoperazine hcl,antipsychotic 1st gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
abilify,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
aripiprazole,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
aripiprazole lauroxil,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
aristada,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
asenapine maleate,antipsychotic 2nd gen,antipsychotic,antipsychotics/antimanic agents,central nervous system drugs,
